Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Burkina Faso,BFA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,4.135625597,-0.919524336,7.31902413,25.49217763,25.74428733,51.21168217,63.2664263,38.0453836,33.20738774,34.41104385,35.30124296,38.07864805,39.1896141,40.95120123,40.9836635,44.14124361,44.15762123,..
Burkina Faso,BFA,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,12.60567236,3.115493549,11.50512593,16.74662328,18.34671793,35.38236443,37.85891043,27.05197242,24.68261998,25.42796022,25.87652428,25.37351955,27.46845834,28.25548486,28.18225527,32.63866188,31.69925555,..
Burundi,BDI,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,19.73487424,27.33426342,17.61260873,35.57719969,34.87683832,51.46858698,60.93597433,58.58124215,24.3694208,2.021301151,44.03698375,53.87094293,48.58295396,66.4046967,66.47541712,59.47310555,62.77601567,61.71276771,68.36489503,..,..,..,..
Burundi,BDI,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,4.13770753,1.714202572,3.629448129,3.102762345,11.85671529,12.92336762,4.222263869,4.191738451,3.425490274,5.760762781,13.85375205,14.18691029,19.35199559,14.15549861,16.9390242,11.71311116,13.2041859,14.37489416,13.50629004,..,..,..,..
Cabo Verde,CPV,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,13.69198249,12.75427772,12.1071284,10.59595606,10.68590874,11.02692781,7.615851361,7.819556731,6.988223611,7.773643893,6.310750683,7.171268075,7.647180278,9.337329699,12.53825904,8.705634317,13.82272945,10.23957018,7.52820795,6.752500443,16.37844017,20.77721673,9.756582493
Cabo Verde,CPV,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,13.93848603,12.02244531,8.900274149,9.723201841,9.25690747,14.72545969,11.53233401,13.43517645,12.2694311,11.30191411,16.01260999,17.61064384,31.25695952,34.72468257,36.76765311,32.35632987,45.65834515,37.58290212,31.30057044,40.05963044,37.87975427,31.60406891,28.80886313
Cambodia,KHM,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,4.213067636,6.539670377,7.222544626,10.92181107,9.212217193,7.218895954,7.487711731,10.4030232,9.589096737,8.388842593,8.761857717,8.119843451,8.454093106,9.82975244,9.224794095,5.113215793,4.417890533,4.107289728,3.448506788,4.482748732,16.84860275,36.13963047,18.86675894
Cambodia,KHM,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,24.25321439,27.80862389,24.77784519,28.95932499,25.37069926,20.71342499,19.76663336,23.85680511,21.09951721,22.48118412,24.20337643,19.63434599,18.84874087,16.05362639,19.79953653,15.86036414,13.94076103,13.36607696,16.27948121,14.57617115,18.49421131,17.4125573,16.77812865
Cameroon,CMR,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,68.7752833,66.37549926,79.79931876,23.25042941,48.61420406,24.03971912,22.3099578,28.34885143,43.3998157,28.06460832,44.6065683,44.31824307,37.49598147,33.04132584,32.48400808,30.94972722,30.93244957,29.29925701,28.08912425,28.67085619,30.0376419,23.46953438,..
Cameroon,CMR,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,53.49290678,56.71048733,63.2273805,47.57940434,43.96811381,34.76850825,33.19272803,34.2483327,46.77059003,42.51275253,46.14076377,19.18429577,23.59366146,29.09643742,28.58751372,23.69726655,25.64731304,30.61260533,29.34839209,27.70491154,27.95767286,21.2969899,..
Canada,CAN,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,47.20719498,47.84668361,49.06503557,53.20722052,51.05821649,51.80699411,51.92730064,51.59711368,53.63203874,55.90737203,52.76286451,52.35771692,51.8897361,51.72541027,50.73095856,49.87982213,48.58120788,48.44602794,50.4608771,52.40615094,64.36822599,64.36802344,57.17737415
Canada,CAN,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,41.04540961,41.08591483,42.24683653,43.50472389,42.21290672,39.86806932,38.23519455,36.47656975,36.3543409,39.4627844,36.55241913,36.49410085,37.36980136,37.58263811,37.43764599,37.14512912,37.23798678,37.60411595,39.89911022,42.04359775,57.70301254,60.46388935,51.53613785
Cayman Islands,CYM,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.0083819,21.75732082,21.21904704,21.35216591,29.05230552,..,..
Cayman Islands,CYM,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.46364369,30.44964497,35.16269735,33.17565498,39.02382377,..,..
Central African Republic,CAF,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
